0.68 0.62 0.65 0.23 0.50 0.61 0.46 0.50 0.20 0.17 -0.20 -0.01 0.10 0.00 0.10 0.14 0.20 0.17 0.12 0.48
0.62 0.18 0.14 0.07 0.08 0.05 0.15 0.48 0.08 -0.20 -0.03 0.07 0.24 0.00 0.15 0.27 0.21 0.30 0.20 0.43
0.65 0.14 0.60 0.37 0.54 0.58 0.53 0.25 0.14 0.18 0.13 0.14 0.09 -0.06 0.13 0.12 0.25 0.01 0.10 0.10
0.23 0.07 0.37 -0.74 -0.51 -0.48 -0.49 -0.19 -0.16 -0.26 -0.09 -0.18 0.28 0.00 0.09 0.32 0.04 0.38 0.35 0.46
0.50 0.08 0.54 -0.51 -0.72 -0.68 -0.47 0.18 -0.27 -0.38 0.04 -0.08 0.39 0.00 0.25 0.17 0.17 0.66 0.16 0.41
0.61 0.05 0.58 -0.48 -0.68 0.30 0.28 0.17 0.14 0.10 0.10 0.04 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.46 0.15 0.53 -0.49 -0.47 0.28 -0.60 0.19 -0.33 -0.35 0.21 0.05 0.55 0.00 0.35 0.18 0.14 0.54 0.21 0.38
0.50 0.48 0.25 -0.19 0.18 0.17 0.19 0.15 -0.23 0.20 0.12 -0.07 0.13 0.00 0.17 -0.02 -0.05 0.25 0.12 0.26
0.20 0.08 0.14 -0.16 -0.27 0.14 -0.33 -0.23 -0.51 -0.23 0.08 -0.16 0.32 0.00 0.32 0.17 -0.01 0.62 0.22 0.24
0.17 -0.20 0.18 -0.26 -0.38 0.10 -0.35 0.20 -0.23 0.26 0.14 0.15 -0.24 -0.14 -0.19 -0.91 -0.08 0.27 -0.69 0.40
-0.20 -0.03 0.13 -0.09 0.04 0.10 0.21 0.12 0.08 0.14 0.22 0.18 -0.04 0.00 0.14 0.02 -0.05 -0.12 -0.14 -0.01
-0.01 0.07 0.14 -0.18 -0.08 0.04 0.05 -0.07 -0.16 0.15 0.18 -0.08 0.36 0.00 0.26 0.09 0.08 0.62 0.16 0.37
0.10 0.24 0.09 0.28 0.39 0.02 0.55 0.13 0.32 -0.24 -0.04 0.36 -0.31 -0.19 -0.15 0.25 -0.46 -1.01 0.38 -0.87
0.00 0.00 -0.06 0.00 0.00 0.00 0.00 0.00 0.00 -0.14 0.00 0.00 -0.19 -0.22 -0.19 -1.04 -0.20 0.04 -1.28 0.45
0.10 0.15 0.13 0.09 0.25 0.00 0.35 0.17 0.32 -0.19 0.14 0.26 -0.15 -0.19 0.11 -0.25 0.14 0.12 -0.20 0.10
0.14 0.27 0.12 0.32 0.17 0.00 0.18 -0.02 0.17 -0.91 0.02 0.09 0.25 -1.04 -0.25 0.13 -0.12 -0.71 0.50 -0.75
0.20 0.21 0.25 0.04 0.17 0.00 0.14 -0.05 -0.01 -0.08 -0.05 0.08 -0.46 -0.20 0.14 -0.12 0.22 -0.22 0.26 -0.11
0.17 0.30 0.01 0.38 0.66 0.00 0.54 0.25 0.62 0.27 -0.12 0.62 -1.01 0.04 0.12 -0.71 -0.22 0.48 0.11 0.34
0.12 0.20 0.10 0.35 0.16 0.00 0.21 0.12 0.22 -0.69 -0.14 0.16 0.38 -1.28 -0.20 0.50 0.26 0.11 -0.40 -0.16
0.48 0.43 0.10 0.46 0.41 0.00 0.38 0.26 0.24 0.40 -0.01 0.37 -0.87 0.45 0.10 -0.75 -0.11 0.34 -0.16 -0.15
